timestamp_ms,t_s,z_m,wake_label
1634660577814,157.6,0.005,0
1634660578014,157.8,0.003,0
1634660578214,158.0,0.001,0
1634660578414,158.2,0.0,0
1634660578614,158.4,0.002,0
1634660578814,158.6,0.004,0
1634660579014,158.8,0.006,0
1634660579214,159.0,0.007,0
1634660579414,159.2,0.006,0
1634660579614,159.4,0.005,0
1634660579814,159.6,0.003,0
1634660580014,159.8,-0.0,0
1634660580214,160.0,-0.002,0
1634660580414,160.2,-0.003,0
1634660580614,160.4,-0.001,0
1634660580814,160.6,0.001,0
1634660581014,160.8,0.001,0
1634660581214,161.0,-0.001,0
1634660581414,161.2,-0.005,0
1634660581614,161.4,-0.008,0
1634660581814,161.6,-0.008,0
1634660582014,161.8,-0.004,0
1634660582214,162.0,-0.001,0
1634660582414,162.2,0.001,0
1634660582614,162.4,0.002,0
1634660582814,162.6,0.002,0
1634660583014,162.8,0.001,0
1634660583214,163.0,-0.0,0
1634660583414,163.2,-0.002,0
1634660583614,163.4,-0.003,0
1634660583814,163.6,-0.001,0
1634660584014,163.8,0.003,0
1634660584214,164.0,0.006,0
1634660584414,164.2,0.006,0
1634660584614,164.4,0.003,0
1634660584814,164.6,-0.003,0
1634660585014,164.8,-0.006,0
1634660585214,165.0,-0.006,0
1634660585414,165.2,-0.003,0
1634660585614,165.4,-0.001,0
1634660585814,165.6,-0.001,0
1634660586014,165.8,-0.002,0
1634660586214,166.0,-0.003,0
1634660586414,166.2,-0.003,0
1634660586614,166.4,-0.001,0
1634660586814,166.6,0.002,0
1634660587014,166.8,0.005,0
1634660587214,167.0,0.007,0
1634660587414,167.2,0.008,0
1634660587614,167.4,0.006,0
1634660587814,167.6,0.004,0
1634660588014,167.8,0.0,0
1634660588214,168.0,-0.002,0
1634660588414,168.2,-0.002,0
1634660588614,168.4,-0.002,0
1634660588814,168.6,-0.002,0
